autor,título_traducido,lengua,traductor,ciudad,lat,long,editorial,país,año,edición,páginas,título_original,lengua_original
"Borges, Jorge Luis", O livro de areia ,Portuguese  ," Fernandes, Aníbal ", Lisboa,38.736946,-9.142685, Estampa ,Portugal,1994,2, 143  (1) p,4 ed  El libro de arena ,Spanish 
"Borges, Jorge Luis", A memória de Shakespeare ,Portuguese  ,, Lisboa,38.736946,-9.142685, Vega ,Portugal,1994,2, 80  (1) p, ,Spanish 
"Guerrero, Margarita; Borges, Jorge Luis", Sangsangdongmul iyagi ,Korean  , Nam Chin-hui , Seoul,37566,126.9784, Kkach'i ,"Korea, Republic of",1994,1, 272 p, El libro de los seres imaginarios ,Spanish 
"Wilde, Oscar; Borges, Jorge Luis; (Hesse, Gisela)"," De profundis, epistola in carcere et vinculis; sowie, Die Ballade vom Zuchthaus zu Reading ( mit einem Nachw. von Gisela Hesse und einem Essay von Jorge Luis Borges) ",German  ," Hauser, Otto; Markus, Jakob; Soellner, Hedda ", Zürich,47.36667,8.55, Diogenes-Verlag ,Switzerland,1994,1, 223 S, Neuausg,English 
"Borges, Jorge Luis", Yedi gece ,Turkish  ," Üster, Celal ", Istanbul,41.01384,28.94966, CAN ,Turkey,1994,1, 150 p, Siete noche ,Spanish 
"Borges, Jorge Luis; (Arnold, Fritz; Haefs, Gisbert)", Werke (14) Rose und Münze  Gedichte 1973-1977 ,German  ,, Frankfurt am Main,50.11552,8.68417, Fischer-Taschenbuch-Verlag ,Germany,1994,4, 276 p, ,Spanish 
"Borges, Jorge Luis; (Arnold, Fritz; Haefs, Gisbert)", Werke (17) Besitz des Gestern Gedichte 1981-1985 ,German  ,, Frankfurt am Main,50.11552,8.68417, Fischer-Taschenbuch-Verlag ,Germany,1994,4, 216 p, ,Spanish 
"Borges, Jorge Luis", Istorija na vecnostta (extr.) ,Bulgarian  ," Stojanov, Rumen ", Sofija, 42.69751, 23.32415, Paradoks ,Bulgaria,1994,1, 319 p, ,Spanish 
"Soucek, Ludvik; Borges, Jorge Luis", ÈNCIKLOPEDIJA vymyšlennyh sušcestv. Ènciklopedija vseobšcih zabluždenij ,Russian  ," Bèrrèsuèta, I.; Cicenkova, T.Ju.; Veretilo, S.A. ", Minsk,53.9,27.56667, Staryj Svet-Print ,Belarus,1994,1, 207 p, ill Kongresová turistika na jižní Morave,Spanish Czech 
"Borges, Jorge Luis", La parabole du palais ,French  ," Caillois, Roger ", Châteauroux,46.81667,1.7, R. Bonargent ,France,1994,4,,  1 v,Spanish 
"al-Magribi, al-Muhtar; Borges, Jorge Luis"," Le ""Martin Fierro"" suivi de L'invention de Borges par Al Mokthar Al Maghrebi ",French  ," Lesfargues, Bernard ", Entremont,45.95,6.3833, Quatuor ,France,1994,4, 126 p, couv ill,Spanish 
"Borges, Jorge Luis", Histoire universelle de l'infamie ,French  ," Caillois, Roger; Guille-Bataillon, Laure ", Paris,48.8534,2.3488, UGE ,France,1994,4, 249 p, couv ill en coul,Spanish 
"Borges, Jorge Luis", Labyrinter ,Norwegian  ," Aasen, Finn ", Oslo,59.911491,10.757933, Den norske bokklubben ,Norway,1994,1, 127 p, Ficciones ,Spanish 
"Borges, Jorge Luis; (Tentori Montalto, Francesco)", Le più belle poesie di Jorge Luis Borges ,Italian  ,, Milano,45.46427,9.18951, Crocetti ,Italy,1994,1, 77 p, 1 ritr,Spanish 
"Borges, Jorge Luis", Yedi gece denme ,Turkish  ," Üster, Celal ", Istanbul,41.01384,28.94966, CAN ,Turkey,1995,1, 150 p,2 ed Siete noctes ,Spanish 
